Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.104347088258263,-1.31663141229483E-05,0.412877049618646,0,0,0,63.617784647431,2.30613127339914,-3.23512682348357E-06,0.00647034815101378,2.55487605799257,2.15081310232745E-05,3.51350110023049,0,0,0,0,0,0,package://kp07_v11/meshes/base_link.STL,0.780392156862745,0.76078431372549,0.741176470588235,1,0,0,0,0,0,0,package://kp07_v11/meshes/base_link.STL,,KP07-B0000-1/KP07-B0004m-2;KP07-B0000-1/KP07-B1000-3/KP07-B1100-1/KP07-B1102-12;KP07-B0000-1/KP07-B0003-1;KP07-B0000-1/KP07-B0300-3/KP07-B0301-1;KP07-B0000-1/STD - GloEra 5in Caster Wheel 1500lbs-1;KP07-B0000-1/STD - GloEra 5in Caster Wheel 1500lbs-4;KP07-B0000-1/STD - GloEra 5in Caster Wheel 1500lbs-5;KP07-B0000-1/STD - GloEra 5in Caster Wheel 1500lbs-2;KP07-B0000-1/KP07-B0006-3;KP07-B0000-1/KP07-B0006-1;KP07-B0000-1/KP07-B0006-5;KP07-B0000-1/KP07-B0006-6;KP07-B0000-1/KP07-B0004-2;KP07-B0000-1/KP07-B1000-3/KP07-B1100-1/KP07-B1102-4;KP07-B0000-1/KP07-B1000-3/KP07-B1100-1/KP07-B1116-3;KP07-B0000-1/KP07-B1000-3/KP07-B1100-1/KP07-B1115-1;KP07-B0000-1/KP07-B1000-3/KP07-B1100-1/KP07-B1113-6;KP07-B0000-1/KP07-B1000-3/KP07-B1014-1;KP07-B0000-1/KP07-B0500-1/KP07-B0501-1;KP07-B0000-1/KP07-B0500-1/KP07-B0503-1;KP07-B0000-1/KP07-B0500-1/KP07-B0502-1;KP07-B0000-1/KP07-B0500-2/KP07-B0503-1;KP07-B0000-1/KP07-B0500-2/KP07-B0502-1;KP07-B0000-1/KP07-B0500-2/KP07-B0501-1;KP07-B0000-1/KP07-B1000-3/KP07-B1100-1/KP07-B1114m-2;KP07-B0000-1/KP07-B1000-3/KP07-B1014m-2;KP07-B0000-1/KP07-B1000-3/KP07-B1100-1/KP07-B1114-1;KP07-B0000-1/KP07-B0001-1;KP07-B0000-1/KP07-B1000-3/KP07-B1100-1/KP07-B1101-1;KP07-B0000-1/KP07-B1000-3/KP07-B1100-1/KP07-B1104-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
ar_link,0.0128924732188366,1.20124064056926E-07,0.106969653014065,0,0,0,1.41326466643614,0.00637579594524733,-2.27874975114171E-10,-3.10838664083599E-05,0.00710485711693362,3.11793798712309E-09,0.0012877634442907,0,0,0,0,0,0,package://kp07_v11/meshes/ar_link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://kp07_v11/meshes/ar_link.STL,,KP07-C0000-1/KP07-C1000-1/KP07-A1011m-2;KP07-C0000-1/KP07-C1000-1/KP07-A1011-1;KP07-C0000-1/KP07-C1000-1/KP07-A1001-1;KP07-C0000-1/KP07-C1000-1/KP07-A1001m-6;KP07-C0000-1/KP07-C1000-1/KP07-A1004-2;KP07-C0000-1/KP07-C1000-1/KP07-A1005-3,AR-Coordinate-System,AR-Axis,ar_joint,revolute,0.37366,-0.127000000000001,0.518551908545377,0,0,0,base_link,0,0,1,0,0,-0.5235987755983,0.1745329251994,,,,,,,,
br1_link,0.197273849965391,-0.0368554040691015,3.52116507005285E-05,0,0,0,0.628578692324578,0.000480821788218691,2.32649044477467E-10,2.1487123800855E-05,0.00883230225110044,-4.40062897755076E-10,0.0088328322950843,0,0,0,0,0,0,package://kp07_v11/meshes/br1_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://kp07_v11/meshes/br1_link.STL,,KP07-C0000-1/KP07-A4000-5/KP07-A4100-1/KP07-A4101-1,BR-1-Coordinate-System,BR-1-Axis,br1_joint,revolute,0.0520700000000001,0.0368554,0.18415,0,1.04719755119658,0,ar_link,0,1,0,0,0,-1.6581,0,,,,,,,,
cr1_link,0.287629872273466,-0.0368554012777096,1.74653669304803E-09,0,0,0,0.264532899917141,0.000113008901120391,3.6780530005675E-14,-1.10059165015494E-13,0.00189696858662353,1.42608282734562E-10,0.00189622601190326,0,0,0,0,0,0,package://kp07_v11/meshes/cr1_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://kp07_v11/meshes/cr1_link.STL,,KP07-C0000-1/KP07-A4000-5/KP07-A4200-1/KP07-A4201-1,BR-1-Coordinate-System,CR-1-Axis,cr1_joint,prismatic,0,0,0,0,0,0,br1_link,-1,0,0,0,0,-0.2032,0,,,,,,,,
dr_link,-0.00480632422544791,-0.0443760029405194,-0.0584944354296074,0,0,0,1.23586993122048,0.0026347115469991,2.74555755908124E-06,-0.000381855113248733,0.00632749739276202,3.21857067102264E-08,0.00396838633976449,0,0,0,0,0,0,package://kp07_v11/meshes/dr_link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://kp07_v11/meshes/dr_link.STL,,KP07-C0000-1/KP07-C2000-7/KP07-A2005-1;KP07-C0000-1/KP07-C2000-7/KP07-A2001-1;KP07-C0000-1/KP07-C2000-7/KP07-A2005m-2;KP07-C0000-1/KP07-C2000-7/KP07-A2001m-4,DR-1-Coordinate-System,DR-1-Axis,dr_joint,revolute,0.422909999999999,0.00724460000000335,0,3.14159265358979,-1.30899693899576,-3.14159265358978,cr1_link,0,-1,0,0,0,0,0,,,,,,,,
er1_link,0.197462427551641,-0.0441000049675959,3.52118762203535E-05,0,0,0,0.628578614911236,0.000480821732350888,3.88545609569003E-10,1.85256624635079E-05,0.00886033158264318,-4.03176549344408E-10,0.00886086163260815,0,0,0,0,0,0,package://kp07_v11/meshes/er1_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://kp07_v11/meshes/er1_link.STL,,KP07-C0000-1/KP07-A6000-7/KP07-A6100-1/KP07-A6101-1,ER-1-Coordinate-System,ER-1-Axis,er1_joint,revolute,0.0634999999999999,0,0,0,-0.698131700796877,0,dr_link,0,-1,0,0,0,-1.5359,0,,,,,,,,
fr1_link,0.287629873543023,-0.0440999994468661,-7.56109952426698E-10,0,0,0,0.264532899870709,0.000113008901231924,-9.79621206724693E-14,1.34441212536764E-13,0.00189696858726913,1.42663912351205E-10,0.00189622601241865,0,0,0,0,0,0,package://kp07_v11/meshes/fr1_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://kp07_v11/meshes/fr1_link.STL,,KP07-C0000-1/KP07-A6000-7/KP07-A4200-1/KP07-A4201-1,ER-1-Coordinate-System,FR-1-Axis,fr1_joint,prismatic,0,0,0,0,0,0,er1_link,-1,0,0,0,0,-0.2032,0,,,,,,,,
gr_link,0.0536405972413051,-0.0388873797221277,0.133133817696428,0,0,0,1.20944868233744,0.0178453547045186,-1.03609806662696E-09,-9.50289495372822E-05,0.0181466063907535,4.61305123428106E-09,0.000838588084364453,0,0,0,0,0,0,package://kp07_v11/meshes/gr_link.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://kp07_v11/meshes/gr_link.STL,,KP07-C0000-1/KP07-C3000-2/KP07-A3001m-2;KP07-C0000-1/KP07-C3000-2/KP07-A3001-1;KP07-C0000-1/KP07-C3000-2/KP07-A3012-4;KP07-C0000-1/KP07-C3000-2/KP07-A3015-2;KP07-C0000-1/KP07-C3000-2/KP07-A3002-4,GR-1-Coordinate-System,GR-1-Axis,gr_joint,revolute,0.422910000000001,-0.00521260000000021,0,0,1.48352986419433,0,fr1_link,0,1,0,0,0,0,0,,,,,,,,
hr_link,-0.0355450949347614,0.00337348530946446,-0.0663048175633467,0,0,0,0.320125825644217,0.000853590950472643,1.69087202220965E-06,5.60427115857386E-06,0.000847100550217572,2.79851650088369E-12,5.25773414725343E-05,0,0,0,0,0,0,package://kp07_v11/meshes/hr_link.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://kp07_v11/meshes/hr_link.STL,,KP07-C0000-1/KP07-C3000-2/KP07-A3007-6;KP07-C0000-1/KP07-C3000-2/KP07-A3007-7;KP07-C0000-1/KP07-C3000-2/KP07-A3013-2,HR-Coordinate-System,HR-Axis,hr_joint,revolute,0.0392430000000002,-0.0388874000000003,0.338614737937696,0,0,0,gr_link,0,0,1,0,0,-0.1745329251994,0.5235987755983,,,,,,,,
ir_link,-0.00299618963479142,1.23195868978465E-07,-0.103166056624998,0,0,0,0.985700306160896,0.0093656951041299,-1.0251241815842E-10,-6.98362537630003E-05,0.00786271941633994,-4.09079579988436E-10,0.00184482425678644,0,0,0,0,0,0,package://kp07_v11/meshes/ir_link.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://kp07_v11/meshes/ir_link.STL,,KP07-C0000-1/KP07-C3000-2/KP07-A3100-1/KP07-A3101-2;KP07-C0000-1/KP07-C3000-2/KP07-A3100-1/KP07-A3102-1;KP07-C0000-1/KP07-C3000-2/KP07-A3100-1/KP07-A3104-4;KP07-C0000-1/KP07-C3000-2/KP07-A3100-1/KP07-A3104-3,IR-Coordinate-System,IR-Axis,ir_joint,revolute,-0.0630696672483271,0.00384854413384111,0.00428526206230417,0,0,0,hr_link,-1,0,0,0,0,-0.1745329251994,0.1745329251994,,,,,,,,
er2_link,0.197462429120894,-0.0440999940453563,-3.52105417904536E-05,0,0,0,0.628578624405718,0.000480821738675714,-3.75185410856228E-10,-1.85256435126848E-05,0.00886033170293825,-4.0489025887678E-10,0.00886086175355616,0,0,0,0,0,0,package://kp07_v11/meshes/er2_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://kp07_v11/meshes/er2_link.STL,,KP07-C0000-1/KP07-A6000-9/KP07-A6100-1/KP07-A6101-1,ER-2-Coordinate-System,ER-2-Axis,er2_joint,revolute,0.0529846596374948,0,-0.120190890324769,0,-0.698131700796878,0,dr_link,0,-1,0,0,0,0,0,,,,,,,,
fr2_link,0.287629873543023,-0.0440999994468663,-7.56109952426698E-10,0,0,0,0.264532899870703,0.000113008901231921,-9.79610517149318E-14,1.34439195751317E-13,0.00189696858726909,1.42663911398839E-10,0.00189622601241861,0,0,0,0,0,0,package://kp07_v11/meshes/fr2_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://kp07_v11/meshes/fr2_link.STL,,KP07-C0000-1/KP07-A6000-9/KP07-A4200-1/KP07-A4201-1,ER-2-Coordinate-System,FR-2-Axis,fr2_joint,prismatic,0,0,0,0,0,0,er2_link,-1,0,0,0,0,0,0,,,,,,,,
br2_link,0.197273847661975,-0.0368553984092451,-3.52150001771134E-05,0,0,0,0.628578680959621,0.000480821780569167,-2.51386241371685E-10,-2.14871507066869E-05,0.00883230204805584,-4.37982873029519E-10,0.0088328320913368,0,0,0,0,0,0,package://kp07_v11/meshes/br2_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://kp07_v11/meshes/br2_link.STL,,KP07-C0000-1/KP07-A4000-6/KP07-A4100-1/KP07-A4101-1,BR-2-Coordinate-System,BR-2-Axis,br2_joint,revolute,0.0289140155081158,0.0368554,0.0528258861358218,0,1.04719755119658,0,ar_link,0,1,0,0,0,0,0,,,,,,,,
cr2_link,0.287629872273465,-0.0368554012777118,1.74653747020415E-09,0,0,0,0.264532899917143,0.000113008901120392,3.6792746927376E-14,-1.10059907015829E-13,0.00189696858662352,1.42608284249518E-10,0.00189622601190326,0,0,0,0,0,0,package://kp07_v11/meshes/cr2_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://kp07_v11/meshes/cr2_link.STL,,KP07-C0000-1/KP07-A4000-6/KP07-A4200-1/KP07-A4201-1,BR-2-Coordinate-System,CR-2-Axis,cr2_joint,prismatic,0,0,0,0,0,0,br2_link,-1,0,0,0,0,0,0,,,,,,,,
al_link,0.0128924732188366,1.20124064584282E-07,0.106969653014066,0,0,0,1.41326466643614,0.00637579594524731,-2.27874977995626E-10,-3.10838664083575E-05,0.00710485711693361,3.11793799037392E-09,0.0012877634442907,0,0,0,0,0,0,package://kp07_v11/meshes/al_link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://kp07_v11/meshes/al_link.STL,,KP07-A0000-1/KP07-A1000-1/KP07-A1011-1;KP07-A0000-1/KP07-A1000-1/KP07-A1011m-2;KP07-A0000-1/KP07-A1000-1/KP07-A1001m-6;KP07-A0000-1/KP07-A1000-1/KP07-A1001-1;KP07-A0000-1/KP07-A1000-1/KP07-A1004-2;KP07-A0000-1/KP07-A1000-1/KP07-A1005-3,AL-Coordinate-System,AL-Axis,al_joint,revolute,0.37366,0.127,0.518551908545377,0,0,0,base_link,0,0,1,0,0,-0.1745329251994,0.5235987755983,,,,,,,,
bl1_link,0.19727384996539,-0.0368554040691033,3.52116507004174E-05,0,0,0,0.628578692324575,0.000480821788218688,2.32649101771789E-10,2.14871238008619E-05,0.00883230225110046,-4.40062898070931E-10,0.00883283229508432,0,0,0,0,0,0,package://kp07_v11/meshes/bl1_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://kp07_v11/meshes/bl1_link.STL,,KP07-A0000-1/KP07-A4000-5/KP07-A4100-1/KP07-A4101-1,BL-1-Coordinate-System,BL-1-Axis,bl1_joint,revolute,0.0520699999999999,0.0368554,0.18415,0,1.04719755119659,0,al_link,0,1,0,0,0,-1.6580627893946,0,,,,,,,,
cl1_link,0.287629872273464,-0.036855401277712,1.74653702611494E-09,0,0,0,0.264532899917143,0.000113008901120392,3.6793698760718E-14,-1.10056525660622E-13,0.00189696858662352,1.426082840827E-10,0.00189622601190326,0,0,0,0,0,0,package://kp07_v11/meshes/cl1_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://kp07_v11/meshes/cl1_link.STL,,KP07-A0000-1/KP07-A4000-5/KP07-A4200-1/KP07-A4201-1,BL-1-Coordinate-System,CL-1-Axis,cl1_joint,prismatic,0,0,0,0,0,0,bl1_link,-1,0,0,0,0,-0.2032,0,,,,,,,,
dl_link,-0.00480632422544847,-0.0443760029405199,-0.0584944354296069,0,0,0,1.23586993122048,0.0026347115469991,2.74555755908469E-06,-0.000381855113248731,0.00632749739276201,3.2185706709633E-08,0.00396838633976448,0,0,0,0,0,0,package://kp07_v11/meshes/dl_link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://kp07_v11/meshes/dl_link.STL,,KP07-A0000-1/KP07-A2000-7/KP07-A2005m-2;KP07-A0000-1/KP07-A2000-7/KP07-A2001m-4;KP07-A0000-1/KP07-A2000-7/KP07-A2001-1;KP07-A0000-1/KP07-A2000-7/KP07-A2005-1,DL-1-Coordinate-System,DL-1-Axis,dl_joint,revolute,0.42291,0.00724460000000129,0,3.14159265358979,-1.30899693899575,-3.14159265358979,cl1_link,0,-1,0,0,0,0,0,,,,,,,,
el1_link,0.197462427551641,-0.0441000049675966,3.5211876222907E-05,0,0,0,0.628578614911236,0.000480821732350888,3.88545619765834E-10,1.85256624635144E-05,0.0088603315826432,-4.03176548745518E-10,0.00886086163260816,0,0,0,0,0,0,package://kp07_v11/meshes/el1_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://kp07_v11/meshes/el1_link.STL,,KP07-A0000-1/KP07-A6000-7/KP07-A6100-1/KP07-A6101-1,EL-1-Coordinate-System,EL-1-Axis,el1_joint,revolute,0.0635000000000012,0,0,0,-0.698131700796892,0,dl_link,0,-1,0,0,0,-1.5359,0,,,,,,,,
fl1_link,0.287629873543023,-0.0440999994468674,-7.56108176069858E-10,0,0,0,0.264532899870707,0.000113008901231923,-9.79611918298471E-14,1.34436215889446E-13,0.00189696858726914,1.42663912841155E-10,0.00189622601241865,0,0,0,0,0,0,package://kp07_v11/meshes/fl1_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://kp07_v11/meshes/fl1_link.STL,,KP07-A0000-1/KP07-A6000-7/KP07-A4200-1/KP07-A4201-1,EL-1-Coordinate-System,FL-1-Axis,fl1_joint,prismatic,0,0,0,0,0,0,el1_link,-1,0,0,0,0,-0.2032,0,,,,,,,,
gl_link,0.0536405972413049,-0.0388873797221277,0.133133817696428,0,0,0,1.20944868233744,0.0178453547045186,-1.03609806677826E-09,-9.50289495372725E-05,0.0181466063907535,4.61305122480908E-09,0.000838588084364452,0,0,0,0,0,0,package://kp07_v11/meshes/gl_link.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://kp07_v11/meshes/gl_link.STL,,KP07-A0000-1/KP07-A3000-2/KP07-A3012-4;KP07-A0000-1/KP07-A3000-2/KP07-A3001m-2;KP07-A0000-1/KP07-A3000-2/KP07-A3001-1;KP07-A0000-1/KP07-A3000-2/KP07-A3015-2;KP07-A0000-1/KP07-A3000-2/KP07-A3002-4,GL-1-Coordinate-System,GL-1-Axis,gl_joint,revolute,0.42291,-0.00521260000000123,0,0,1.48352986419434,0,fl1_link,0,1,0,0,0,0,0,,,,,,,,
hl_link,-0.0355450949347615,-0.00337348530946467,-0.0663048174910308,0,0,0,0.320125825644217,0.000853590950472643,-1.69087202220967E-06,5.60426889927419E-06,0.000847100550217572,2.79851670841906E-12,5.25773414725343E-05,0,0,0,0,0,0,package://kp07_v11/meshes/hl_link.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://kp07_v11/meshes/hl_link.STL,,KP07-A0000-1/KP07-A3000-2/KP07-A3013-2;KP07-A0000-1/KP07-A3000-2/KP07-A3007-7;KP07-A0000-1/KP07-A3000-2/KP07-A3007-6,HL-Coordinate-System,HL-Axis,hl_joint,revolute,0.0392429999999999,-0.0388874000000001,0.338614737937695,0,0,0,gl_link,0,0,1,0,0,-0.5235987755983,0.1745329251994,,,,,,,,
il_link,-0.0029961896347912,1.23195868895198E-07,-0.103166056624997,0,0,0,0.985700306160895,0.00936569510412989,-1.02512418842277E-10,-6.98362537630007E-05,0.00786271941633994,-4.09079588154357E-10,0.00184482425678645,0,0,0,0,0,0,package://kp07_v11/meshes/il_link.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://kp07_v11/meshes/il_link.STL,,KP07-A0000-1/KP07-A3000-2/KP07-A3100-1/KP07-A3101-2;KP07-A0000-1/KP07-A3000-2/KP07-A3100-1/KP07-A3102-1;KP07-A0000-1/KP07-A3000-2/KP07-A3100-1/KP07-A3104-3;KP07-A0000-1/KP07-A3000-2/KP07-A3100-1/KP07-A3104-4,IL-Coordinate-System,IL-Axis,il_joint,revolute,-0.063069667248327,-0.00384854413384136,0.0042852620623044,0,0,0,hl_link,-1,0,0,0,0,-0.1745329251994,0.1745329251994,,,,,,,,
el2_link,0.197462429120893,-0.0440999940453572,-3.52105417880111E-05,0,0,0,0.62857862440572,0.000480821738675714,-3.75185413187621E-10,-1.85256435126917E-05,0.00886033170293837,-4.04890259090114E-10,0.00886086175355628,0,0,0,0,0,0,package://kp07_v11/meshes/el2_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://kp07_v11/meshes/el2_link.STL,,KP07-A0000-1/KP07-A6000-9/KP07-A6100-1/KP07-A6101-1,EL-2-Coordinate-System,EL-2-Axis,el2_joint,revolute,0.0529846596374962,0,-0.12019089032477,0,-0.698131700796892,0,dl_link,0,-1,0,0,0,0,0,,,,,,,,
fl2_link,0.287629873543023,-0.044099999446867,-7.56107620958346E-10,0,0,0,0.264532899870712,0.000113008901231925,-9.79613794067714E-14,1.3443617692593E-13,0.00189696858726916,1.42663911728801E-10,0.00189622601241867,0,0,0,0,0,0,package://kp07_v11/meshes/fl2_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://kp07_v11/meshes/fl2_link.STL,,KP07-A0000-1/KP07-A6000-9/KP07-A4200-1/KP07-A4201-1,EL-2-Coordinate-System,FL-2-Axis,fl2_joint,prismatic,0,0,0,0,0,0,el2_link,-1,0,0,0,0,0,0,,,,,,,,
bl2_link,0.197273847661975,-0.0368553984092451,-3.52150001770024E-05,0,0,0,0.628578680959621,0.000480821780569165,-2.51386238753428E-10,-2.14871507066947E-05,0.00883230204805588,-4.37982869402687E-10,0.00883283209133683,0,0,0,0,0,0,package://kp07_v11/meshes/bl2_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://kp07_v11/meshes/bl2_link.STL,,KP07-A0000-1/KP07-A4000-6/KP07-A4100-1/KP07-A4101-1,BL-2-Coordinate-System,BL-2-Axis,bl2_joint,revolute,0.0289140155081157,0.0368554,0.052825886135822,0,1.04719755119659,0,al_link,0,1,0,0,0,0,0,,,,,,,,
cl2_link,0.287629872273466,-0.0368554012777118,1.74653724815954E-09,0,0,0,0.264532899917147,0.000113008901120393,3.67933623407858E-14,-1.10060130632846E-13,0.00189696858662356,1.42608284660636E-10,0.0018962260119033,0,0,0,0,0,0,package://kp07_v11/meshes/cl2_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://kp07_v11/meshes/cl2_link.STL,,KP07-A0000-1/KP07-A4000-6/KP07-A4200-1/KP07-A4201-1,BL-2-Coordinate-System,CL-2-Axis,cl2_joint,prismatic,0,0,0,0,0,0,bl2_link,-1,0,0,0,0,0,0,,,,,,,,
